comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
CH_NT-SR_1959__CO|ZtK;CH_NT-SR_1959;Zolltarifkommission ;CO;NA;ZtK;NA;15;07dec1959;04oct1963
CH_NT-SR_1963__CO|AAK;CH_NT-SR_1963;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;11;02dec1963;05oct1967
CH_NT-SR_1963__CO|ALK;CH_NT-SR_1963;Alkoholkommission (ALK) ;CO;NA;ALK;NA;9;02dec1963;05oct1967
CH_NT-SR_1963__CO|AWK;CH_NT-SR_1963;Kommission für Aussenwirtschaft und Zolltarif ;CO;NA;AWK;NA;15;29nov1965;05oct1967
CH_NT-SR_1963__CO|EBKk;CH_NT-SR_1963;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;9;02dec1963;05oct1967
CH_NT-SR_1963__CO|FK;CH_NT-SR_1963;Finanzkommission (FK) ;CO;NA;FK;NA;11;02dec1963;05oct1967
CH_NT-SR_1963__CO|GPK;CH_NT-SR_1963;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;"9;11";02dec1963;05oct1967
CH_NT-SR_1963__CO|MK;CH_NT-SR_1963;Militärkommission (MK) ;CO;NA;MK;NA;"9;11";02dec1963;05oct1967
CH_NT-SR_1963__CO|PK;CH_NT-SR_1963;Petitionskommission (PK) ;CO;NA;PK;NA;5;02dec1963;05oct1967
CH_NT-SR_1963__CO|PTT;CH_NT-SR_1963;Kommission für die Post-, Telegraphen- und Telephonverwaltung ;CO;NA;PTT;NA;9;02dec1963;05oct1967
CH_NT-SR_1963__CO|SBBK;CH_NT-SR_1963;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;9;02dec1963;05oct1967
CH_NT-SR_1963__CO|ZtK;CH_NT-SR_1963;Zolltarifkommission ;CO;NA;ZtK;NA;15;02dec1963;13oct1965
CH_NT-SR_1967__CO|AAK;CH_NT-SR_1967;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;11;04dec1967;08oct1971
CH_NT-SR_1967__CO|ALK;CH_NT-SR_1967;Alkoholkommission (ALK) ;CO;NA;ALK;NA;9;04dec1967;08oct1971
CH_NT-SR_1967__CO|AWK;CH_NT-SR_1967;Kommission für Aussenwirtschaft und Zolltarif ;CO;NA;AWK;NA;15;04dec1967;08oct1971
CH_NT-SR_1967__CO|DK;CH_NT-SR_1967;Dokumentationskommission (DK) ;CO;NA;DK;NA;5;04dec1967;08oct1971
CH_NT-SR_1967__CO|EBKk;CH_NT-SR_1967;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;9;04dec1967;08oct1971
CH_NT-SR_1967__CO|FK;CH_NT-SR_1967;Finanzkommission (FK) ;CO;NA;FK;NA;11;04dec1967;08oct1971
CH_NT-SR_1967__CO|GPK;CH_NT-SR_1967;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;"11;13";04dec1967;08oct1971
CH_NT-SR_1967__CO|MK;CH_NT-SR_1967;Militärkommission (MK) ;CO;NA;MK;NA;11;04dec1967;08oct1971
