parliament_id;leg_period_start;leg_period_end;level;country_abb;region_abb;leg_period;assembly_name;assembly_abb;coalition_parties;previous_parliament;next_parliament
DE_RE-HB_1995;08jun1995;07jun1999;RE;DE;HB;14;Buergerschaft;BS;;DE_RE-HB_1991;DE_RE-HB_1999
DE_RE-HB_1999;08jun1999;07jun2003;RE;DE;HB;15;Buergerschaft;BS;;DE_RE-HB_1995;DE_RE-HB_2003
DE_RE-HB_2003;08jun2003;07jun2007;RE;DE;HB;16;Buergerschaft;BS;;DE_RE-HB_1999;DE_RE-HB_2007
DE_RE-HB_2007;08jun2007;07jun2011;RE;DE;HB;17;Buergerschaft;BS;;DE_RE-HB_2003;DE_RE-HB_2011
DE_RE-HB_2011;08jun2011;07jun2015;RE;DE;HB;18;Buergerschaft;BS;;DE_RE-HB_2007;DE_RE-HB_2015
DE_RE-HB_2015;08jun2015;07jun2019;RE;DE;HB;19;Buergerschaft;BS;;DE_RE-HB_2011;DE_RE-HB_2019
DE_RE-HB_2019;08jun2019;NC;RE;DE;HB;20;Buergerschaft;BS;;DE_RE-HB_2015;NC
DE_RE-HH_1946;30oct1946;08nov1949;RE;DE;HH;1;Buergerschaft;BS;;NA;DE_RE-HH_1949
DE_RE-HH_1949;09nov1949;19nov1953;RE;DE;HH;2;Buergerschaft;BS;;DE_RE-HH_1946;DE_RE-HH_1953
DE_RE-HH_1953;20nov1953;26nov1957;RE;DE;HH;3;Buergerschaft;BS;;DE_RE-HH_1949;DE_RE-HH_1957
DE_RE-HH_1957;27nov1957;28nov1961;RE;DE;HH;4;Buergerschaft;BS;;DE_RE-HH_1953;DE_RE-HH_1961
DE_RE-HH_1961;29nov1961;12apr1966;RE;DE;HH;5;Buergerschaft;BS;;DE_RE-HH_1957;DE_RE-HH_1966
DE_RE-HH_1966;13apr1966;13apr1970;RE;DE;HH;6;Buergerschaft;BS;;DE_RE-HH_1961;DE_RE-HH_1970
DE_RE-HH_1970;14apr1970;16apr1974;RE;DE;HH;7;Buergerschaft;BS;;DE_RE-HH_1966;DE_RE-HH_1974
DE_RE-HH_1974;17apr1974;19jun1978;RE;DE;HH;8;Buergerschaft;BS;;DE_RE-HH_1970;DE_RE-HH_1978
DE_RE-HH_1978;20jun1978;22jun1982;RE;DE;HH;9;Buergerschaft;BS;;DE_RE-HH_1974;DE_RE-HH_1982
DE_RE-HH_1982;23jun1982;04jan1983;RE;DE;HH;10;Buergerschaft;BS;;DE_RE-HH_1978;DE_RE-HH_1983
DE_RE-HH_1983;05jan1983;25nov1986;RE;DE;HH;11;Buergerschaft;BS;;DE_RE-HH_1982;DE_RE-HH_1986
DE_RE-HH_1986;26nov1986;02jun1987;RE;DE;HH;12;Buergerschaft;BS;;DE_RE-HH_1983;DE_RE-HH_1987
DE_RE-HH_1987;03jun1987;18jun1991;RE;DE;HH;13;Buergerschaft;BS;;DE_RE-HH_1986;DE_RE-HH_1991
DE_RE-HH_1991;19jun1991;05oct1993;RE;DE;HH;14;Buergerschaft;BS;;DE_RE-HH_1987;DE_RE-HH_1993
DE_RE-HH_1993;06oct1993;07oct1997;RE;DE;HH;15;Buergerschaft;BS;;DE_RE-HH_1991;DE_RE-HH_1997
DE_RE-HH_1997;08oct1997;09oct2001;RE;DE;HH;16;Buergerschaft;BS;;DE_RE-HH_1993;DE_RE-HH_2001
DE_RE-HH_2001;10oct2001;16mar2004;RE;DE;HH;17;Buergerschaft;BS;;DE_RE-HH_1997;DE_RE-HH_2004
DE_RE-HH_2004;17mar2004;11mar2008;RE;DE;HH;18;Buergerschaft;BS;;DE_RE-HH_2001;DE_RE-HH_2008
DE_RE-HH_2008;12mar2008;06mar2011;RE;DE;HH;19;Buergerschaft;BS;;DE_RE-HH_2004;DE_RE-HH_2011
DE_RE-HH_2011;07mar2011;01mar2015;RE;DE;HH;20;Buergerschaft;BS;;DE_RE-HH_2008;DE_RE-HH_2015
DE_RE-HH_2015;02mar2015;NC;RE;DE;HH;21;Buergerschaft;BS;;DE_RE-HH_2011;NC
DE_RE-HE_1946;01dec1946;30nov1950;RE;DE;HE;1;Landtag;LT;;NA;DE_RE-HE_1950
DE_RE-HE_1950;01dec1950;30nov1954;RE;DE;HE;2;Landtag;LT;;DE_RE-HE_1946;DE_RE-HE_1954
DE_RE-HE_1954;01dec1954;30nov1958;RE;DE;HE;3;Landtag;LT;;DE_RE-HE_1950;DE_RE-HE_1958
DE_RE-HE_1958;01dec1958;30nov1962;RE;DE;HE;4;Landtag;LT;;DE_RE-HE_1954;DE_RE-HE_1962
DE_RE-HE_1962;01dec1962;30nov1966;RE;DE;HE;5;Landtag;LT;;DE_RE-HE_1958;DE_RE-HE_1966
DE_RE-HE_1966;01dec1966;30nov1970;RE;DE;HE;6;Landtag;LT;;DE_RE-HE_1962;DE_RE-HE_1970
DE_RE-HE_1970;01dec1970;30nov1974;RE;DE;HE;7;Landtag;LT;;DE_RE-HE_1966;DE_RE-HE_1974
DE_RE-HE_1974;01dec1974;30nov1978;RE;DE;HE;8;Landtag;LT;;DE_RE-HE_1970;DE_RE-HE_1978
DE_RE-HE_1978;01dec1978;30nov1982;RE;DE;HE;9;Landtag;LT;;DE_RE-HE_1974;DE_RE-HE_1982
DE_RE-HE_1982;01dec1982;04aug1983;RE;DE;HE;10;Landtag;LT;;DE_RE-HE_1978;DE_RE-HE_1983
DE_RE-HE_1983;25sep1983;17feb1987;RE;DE;HE;11;Landtag;LT;;DE_RE-HE_1982;DE_RE-HE_1987
DE_RE-HE_1987;05apr1987;04apr1991;RE;DE;HE;12;Landtag;LT;;DE_RE-HE_1983;DE_RE-HE_1991
DE_RE-HE_1991;05apr1991;04apr1995;RE;DE;HE;13;Landtag;LT;;DE_RE-HE_1987;DE_RE-HE_1995
DE_RE-HE_1995;05apr1995;04apr1999;RE;DE;HE;14;Landtag;LT;;DE_RE-HE_1991;DE_RE-HE_1999
DE_RE-HE_1999;05apr1999;04apr2003;RE;DE;HE;15;Landtag;LT;;DE_RE-HE_1995;DE_RE-HE_2003
DE_RE-HE_2003;05apr2003;04apr2008;RE;DE;HE;16;Landtag;LT;;DE_RE-HE_1999;DE_RE-HE_2008
DE_RE-HE_2008;05apr2008;19nov2008;RE;DE;HE;17;Landtag;LT;;DE_RE-HE_2003;DE_RE-HE_2009
DE_RE-HE_2009;18jan2009;17jan2014;RE;DE;HE;18;Landtag;LT;;DE_RE-HE_2008;DE_RE-HE_2014
DE_RE-HE_2014;18jan2014;17jan2019;RE;DE;HE;19;Landtag;LT;;DE_RE-HE_2009;DE_RE-HE_2019
DE_RE-HE_2019;18jan2019;NC;RE;DE;HE;20;Landtag;LT;;DE_RE-HE_2014;NC
DE_RE-MV_1990;26oct1990;14nov1994;RE;DE;MV;1;Landtag;LT;;NA;DE_RE-MV_1994
DE_RE-MV_1994;15nov1994;25oct1998;RE;DE;MV;2;Landtag;LT;;DE_RE-MV_1990;DE_RE-MV_1998
DE_RE-MV_1998;26oct1998;21oct2002;RE;DE;MV;3;Landtag;LT;;DE_RE-MV_1994;DE_RE-MV_2002
DE_RE-MV_2002;22oct2002;15oct2006;RE;DE;MV;4;Landtag;LT;;DE_RE-MV_1998;DE_RE-MV_2006
DE_RE-MV_2006;16oct2006;03oct2011;RE;DE;MV;5;Landtag;LT;;DE_RE-MV_2002;DE_RE-MV_2011
DE_RE-MV_2011;04oct2011;03oct2016;RE;DE;MV;6;Landtag;LT;;DE_RE-MV_2006;DE_RE-MV_2016
DE_RE-MV_2016;04oct2016;NC;RE;DE;MV;7;Landtag;LT;;DE_RE-MV_2011;NC
DE_RE-NI_1947;20apr1947;12may1951;RE;DE;NI;1;Landtag;LT;;NA;DE_RE-NI_1951
DE_RE-NI_1951;13may1951;12may1955;RE;DE;NI;2;Landtag;LT;;DE_RE-NI_1947;DE_RE-NI_1955
DE_RE-NI_1955;13may1955;12may1959;RE;DE;NI;3;Landtag;LT;;DE_RE-NI_1951;DE_RE-NI_1959
DE_RE-NI_1959;13may1959;1963;RE;DE;NI;4;Landtag;LT;;DE_RE-NI_1955;DE_RE-NI_1963
DE_RE-NI_1963;1963;1967;RE;DE;NI;5;Landtag;LT;;DE_RE-NI_1959;DE_RE-NI_1967
DE_RE-NI_1967;1967;19jun1970;RE;DE;NI;6;Landtag;LT;;DE_RE-NI_1963;DE_RE-NI_1970
DE_RE-NI_1970;20jun1970;19jun1974;RE;DE;NI;7;Landtag;LT;;DE_RE-NI_1967;DE_RE-NI_1974
DE_RE-NI_1974;20jun1974;19jun1978;RE;DE;NI;8;Landtag;LT;;DE_RE-NI_1970;DE_RE-NI_1978
DE_RE-NI_1978;20jun1978;19jun1982;RE;DE;NI;9;Landtag;LT;;DE_RE-NI_1974;DE_RE-NI_1982
DE_RE-NI_1982;20jun1982;19jun1986;RE;DE;NI;10;Landtag;LT;;DE_RE-NI_1978;DE_RE-NI_1986
DE_RE-NI_1986;20jun1986;19jun1990;RE;DE;NI;11;Landtag;LT;;DE_RE-NI_1982;DE_RE-NI_1990
DE_RE-NI_1990;20jun1990;22jun1994;RE;DE;NI;12;Landtag;LT;;DE_RE-NI_1986;DE_RE-NI_1994
DE_RE-NI_1994;23jun1994;29mar1998;RE;DE;NI;13;Landtag;LT;;DE_RE-NI_1990;DE_RE-NI_1998
DE_RE-NI_1998;30mar1998;03mar2003;RE;DE;NI;14;Landtag;LT;;DE_RE-NI_1994;DE_RE-NI_2003
DE_RE-NI_2003;04mar2003;25feb2008;RE;DE;NI;15;Landtag;LT;;DE_RE-NI_1998;DE_RE-NI_2008
DE_RE-NI_2008;26feb2008;18feb2013;RE;DE;NI;16;Landtag;LT;;DE_RE-NI_2003;DE_RE-NI_2013
DE_RE-NI_2013;19feb2013;14oct2017;RE;DE;NI;17;Landtag;LT;;DE_RE-NI_2008;DE_RE-NI_2017
DE_RE-NI_2017;15oct2017;NC;RE;DE;NI;18;Landtag;LT;;DE_RE-NI_2013;NC
DE_RE-NW_1947;20apr1947;17jun1950;RE;DE;NW;1;Landtag;LT;;NA;DE_RE-NW_1950
DE_RE-NW_1950;05jul1950;04jul1954;RE;DE;NW;2;Landtag;LT;;DE_RE-NW_1947;DE_RE-NW_1954
DE_RE-NW_1954;13jul1954;12jul1958;RE;DE;NW;3;Landtag;LT;;DE_RE-NW_1950;DE_RE-NW_1958
DE_RE-NW_1958;21jul1958;20jul1962;RE;DE;NW;4;Landtag;LT;;DE_RE-NW_1954;DE_RE-NW_1962
DE_RE-NW_1962;23jul1962;23jul1966;RE;DE;NW;5;Landtag;LT;;DE_RE-NW_1958;DE_RE-NW_1966
DE_RE-NW_1966;25jul1966;25jul1970;RE;DE;NW;6;Landtag;LT;;DE_RE-NW_1962;DE_RE-NW_1970
DE_RE-NW_1970;27jul1970;27may1975;RE;DE;NW;7;Landtag;LT;;DE_RE-NW_1966;DE_RE-NW_1975
DE_RE-NW_1975;28may1975;28may1980;RE;DE;NW;8;Landtag;LT;;DE_RE-NW_1970;DE_RE-NW_1980
DE_RE-NW_1980;29may1980;29may1985;RE;DE;NW;9;Landtag;LT;;DE_RE-NW_1975;DE_RE-NW_1985
DE_RE-NW_1985;30may1985;29may1990;RE;DE;NW;10;Landtag;LT;;DE_RE-NW_1980;DE_RE-NW_1990
