list_id;list_name;parliament_id;district_id;elec_id;list_level;list_number;party_id;list_length;list_votes_total_[source];list_type;list_name_check;list_id_check
CH_NT-NR_1947__Basel-Landschaft__26oct1947__Bauern-und-Buergerpartei;Bauern-und-Buergerpartei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_NT-NR_1947__Basel-Landschaft__26oct1947;CH_BL;5;CH_SVP|UDC_RE-BL;4;;;TRUE;TRUE
CH_NT-NR_1947__Basel-Landschaft__26oct1947__Freisinnig-demokratische-Partei;Freisinnig-demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Basel-Landschaft;CH_NT-NR_1947__Basel-Landschaft__26oct1947;CH_BL;6;CH_FDP|PRD_RE-BL;4;;;TRUE;TRUE
CH_NT-NR_1947__Schaffhausen__26oct1947__Liste-I-Liste-der-Bauernpartei;Liste-I-Liste-der-Bauernpartei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_NT-NR_1947__Schaffhausen__26oct1947;CH_SH;1;;2;;;TRUE;TRUE
CH_NT-NR_1947__Schaffhausen__26oct1947__Liste-der-Freisinnig-demokratischen-Partei;Liste-der-Freisinnig-demokratischen-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_NT-NR_1947__Schaffhausen__26oct1947;CH_SH;2;CH_FDP|PRD_RE-SH;2;;;TRUE;TRUE
CH_NT-NR_1947__Schaffhausen__26oct1947__Liste-der-Katholischen-Volkspartei;Liste-der-Katholischen-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_NT-NR_1947__Schaffhausen__26oct1947;CH_SH;3;;2;;;TRUE;TRUE
CH_NT-NR_1947__Schaffhausen__26oct1947__Liste-der-Sozialistischen-Arbeiterpartei;Liste-der-Sozialistischen-Arbeiterpartei;CH_NT-NR_1947;CH_NT-NR_1947__Schaffhausen;CH_NT-NR_1947__Schaffhausen__26oct1947;CH_SH;4;CH_RML|LMR_RE-SH;1;;;TRUE;TRUE
CH_NT-NR_1947__Appenzell-A-RH__26oct1947__Liste-der-sozialdemokratischen-Partei;Liste-der-sozialdemokratischen-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Appenzell-A-RH;CH_NT-NR_1947__Appenzell-A-RH__26oct1947;CH_AR;1;CH_SP|PS_RE-AR;1;;;TRUE;TRUE
CH_NT-NR_1947__Appenzell-A-RH__26oct1947__Liste-der-freisinnig-demokratischen-Partei;Liste-der-freisinnig-demokratischen-Partei;CH_NT-NR_1947;CH_NT-NR_1947__Appenzell-A-RH;CH_NT-NR_1947__Appenzell-A-RH__26oct1947;CH_AR;2;CH_FDP|PRD_RE-AR;1;;;TRUE;TRUE
CH_NT-NR_1947__Appenzell-I-RH__26oct1947__NA-AI-1;NA-AI-1;CH_NT-NR_1947;CH_NT-NR_1947__Appenzell-I-RH;CH_NT-NR_1947__Appenzell-I-RH__26oct1947;CH_AI;1;;1;;;TRUE;TRUE
CH_NT-NR_1947__St-Gallen__26oct1947__Liste-I-Freisinnig-demokratische-Partei-und-jungliberale-Bewegung;Liste-I-Freisinnig-demokratische-Partei-und-jungliberale-Bewegung;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947__St-Gallen__26oct1947;CH_SG;1;CH_FDP|PRD_RE-SG;13;;;TRUE;TRUE
CH_NT-NR_1947__St-Gallen__26oct1947__Sozialdemokratische-Partei;Sozialdemokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947__St-Gallen__26oct1947;CH_SG;2;CH_SP|PS_RE-SG;13;;;TRUE;TRUE
CH_NT-NR_1947__St-Gallen__26oct1947__Partei-der-Arbeit;Partei-der-Arbeit;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947__St-Gallen__26oct1947;CH_SG;3;;10;;;TRUE;TRUE
CH_NT-NR_1947__St-Gallen__26oct1947__Konservativ-christlichsoziale-Volkspartei;Konservativ-christlichsoziale-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947__St-Gallen__26oct1947;CH_SG;4;CH_CVP|PDC_RE-SG;13;;;TRUE;TRUE
CH_NT-NR_1947__St-Gallen__26oct1947__Landesring-der-Unabhaengigen;Landesring-der-Unabhaengigen;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947__St-Gallen__26oct1947;CH_SG;5;CH_LdU|ADI_RE-SG;13;;;TRUE;TRUE
CH_NT-NR_1947__St-Gallen__26oct1947__Demokratische-Partei;Demokratische-Partei;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947__St-Gallen__26oct1947;CH_SG;6;;13;;;TRUE;TRUE
CH_NT-NR_1947__St-Gallen__26oct1947__Jungbauern-Freierwerbende-Arbeiter;Jungbauern-Freierwerbende-Arbeiter;CH_NT-NR_1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947__St-Gallen__26oct1947;CH_SG;7;CH_SVP|UDC_RE-SG;11;;;TRUE;TRUE
